# OLiA discourse	label	DBO	Saplo	Yahoo	Zemanta	SemiTags	NERD
<http://purl.org/olia/discourse/olia_discourse.owl#Stadium>	stadium						<http://nerd.eurecom.fr/ontology#Stadium>
<http://purl.org/olia/discourse/olia_discourse.owl#Station>	station						<http://nerd.eurecom.fr/ontology#Station>
<http://purl.org/olia/discourse/olia_discourse.owl#TennisPlayer>	tennis player						<http://nerd.eurecom.fr/ontology#TennisPlayer>
<http://purl.org/olia/discourse/olia_discourse.owl#Time>	time				<http://developer.zemanta.com/docs/entity_type/time>		
<http://purl.org/olia/discourse/olia_discourse.owl#TVStation>	TV network						
<http://purl.org/olia/discourse/olia_discourse.owl#TVStation>	TV station						<http://nerd.eurecom.fr/ontology#TVStation>
<http://purl.org/olia/discourse/olia_discourse.owl#University>	university						<http://nerd.eurecom.fr/ontology#University>
<http://purl.org/olia/discourse/olia_discourse.owl#URL>	url		<http://developer.saplo.com/method/text-tags#URL>				<http://nerd.eurecom.fr/ontology#URL>
<http://purl.org/olia/discourse/olia_discourse.owl#Valley>	valley						<http://nerd.eurecom.fr/ontology#Valley>
<http://purl.org/olia/discourse/olia_discourse.owl#Vehicle>	vehicle						
<http://purl.org/olia/discourse/olia_discourse.owl#VideoGame>	computer video game				<http://developer.zemanta.com/docs/entity_type/computer_videogame>		
<http://purl.org/olia/discourse/olia_discourse.owl#VideoGame>	video game	<http://dbpedia.org/ontology/VideoGame>					<http://nerd.eurecom.fr/ontology#VideoGame>
<http://purl.org/olia/discourse/olia_discourse.owl#Weapon>	weapon	<http://dbpedia.org/ontology/Weapon>					<http://nerd.eurecom.fr/ontology#Weapon>
<http://purl.org/olia/discourse/olia_discourse.owl#Website>	website	<http://dbpedia.org/ontology/Website>			<http://developer.zemanta.com/docs/entity_type/website>		<http://nerd.eurecom.fr/ontology#Website>
